# This file contains the magnetic form factor data for neutron scattering.         
# The form factor is calculated according to the formula:                          
#                                                                                  
# <j0(Qs)> = c + [SUM a_i*EXP(-b_i*(Qs^2)) ]				                   
#                 i=1,4							                           
#                                                                                  
# where Qs = Q/(4*pi) and a_i, b_i, ... are the coefficients stored below.          
# The (a_4,b_4) coefficients can be zero.                                   
#                                                                                  
# The source for the form factor data are:                                         
#  [1] A.-J. Dianoux and G. Lander, Neutron Data Booklet (2003).                   
#  [2] K. Kobayashi, T. Nagao, and M. Ito, Acta Crystallogr. A. 67, 473 (2011).    
#                                                                                  
label        spin   charge     atom       a(1)       b(1)       a(2)       b(2)       a(3)       b(3)       a(4)       b(4)          c
JTM2          0.0        2       Tm   0.037670   4.455198   0.254184   9.151058   0.677308   2.021746   0.000000   0.000000   0.029718
JTM3          0.0        3       Tm   0.028279   2.291633   0.265583   7.776700   0.675720   2.018924   0.000000   0.000000   0.029883
JYB3          0.5        3       Yb   0.092380   2.046342   0.258408   7.471918   0.609716   1.913869   0.000000   0.000000   0.038824
JO1           0.0        1        O   0.115285  85.197300   0.556229  25.252200   0.332476   6.362070   0.000000   0.000000  -0.004607
MMN5          1.0        5       Mn   0.740500   5.074090   0.292370  11.665470  -1.788340   0.005930   0.000000   0.000000   1.755680
MIR4          0.5        4       Ir   0.396900  22.050000   0.931000  11.768000  -0.709000   3.017000   0.385700   1.778000  -0.004700
MIR5          1.0        5       Ir   0.305900  20.759000   1.043200  11.622000  -1.345700   2.655000   1.000800   2.066000  -0.004300
MIR6          1.5        6       Ir   0.285400  18.867000   1.112300  10.982000  -1.140300   2.782000   0.747500   1.959000  -0.004900
MYBj2         0.5        3       Yb   0.157000  18.555300   0.848400   6.540300   0.888800   2.036700   0.000000   0.000000   0.031800
MYBj4         0.5        3       Yb  -0.212100   8.196700   0.032500   3.153300   0.197500   0.884200   0.000000   0.000000   0.009300
MYBj6         0.5        3       Yb  -0.022400   5.007300  -0.067700   2.019800   0.098500   0.548500   0.000000   0.000000  -0.007600
