# Neutron scattering cross section data of natural elements and isotopes
# 
# Sources:
#    http://www.sisweb.com/referenc/source/exactmas.htm
# Z            charge number
# A            mass number, -1 for natural mixture of isotopes
# name         short atom name
# P            natural abundance, sum(P)=1
# bc           bound coherent scattering length (fm)
# mass         mass in g/mol
# sigma_coh    coherent cross section (barn)
# sigma_inc    incoherent cross section (barn)
# sigma_scatt  total cross section (barn)
# sigma_abs    thermal absorption cross section for thermal neutrons (barn)
#
  Z   A      P name     mass       bc  sigma_coh    sigma_inc sigma_scatt     sigma_abs
 42  92  0.148   Mo  91.9068   6.9100     6.0000     0.000000       6.000      0.019000
 42  94  0.092   Mo  93.9051   6.8000     5.8100     0.000000       5.810      0.015000
 42  95  0.159   Mo  94.9058   6.9100     6.0000     0.500000       6.500     13.100000
 42  96  0.167   Mo  95.9047   6.2000     4.8300     0.000000       4.830      0.500000
 42  97  0.096   Mo  96.9060   7.2400     6.5900     0.500000       7.100      2.500000
 42  98  0.241   Mo  97.9054   6.5800     5.4400     0.000000       5.440      0.127000
 42 100  0.096   Mo  99.9075   6.7300     5.6900     0.000000       5.690      0.400000
 43  -1 -1.000   Tc      NaN   6.8000     5.8000     0.500000       6.300     20.000000
 44  -1 -1.000   Ru 101.0697   7.0300     6.2100     0.400000       6.600      2.560000
 44  96  0.055   Ru  95.9076      NaN        NaN     0.000000         NaN      0.280000
 44  98  0.019   Ru  97.9053      NaN        NaN     0.000000         NaN           NaN
 44  99  0.127   Ru  98.9059      NaN        NaN          NaN         NaN      6.900000
 44 100  0.126   Ru  99.9042      NaN        NaN     0.000000         NaN      4.800000
 44 101  0.170   Ru 100.9056      NaN        NaN          NaN         NaN      3.300000
 44 102  0.316   Ru 101.9043      NaN        NaN     0.000000     144.800      1.170000
 44 104  0.187   Ru 103.9054      NaN        NaN     0.000000       4.483      0.310000
 45  -1  1.000   Rh 102.9055   5.8800     4.3400     0.300000       4.600    144.800000
 46  -1 -1.000   Pd 106.4153   5.9100     4.3900     0.093000       4.480      6.900000
 46 102  0.010   Pd 101.9056   7.7000     7.5000     0.000000       7.500      3.400000
 46 104  0.111   Pd 103.9040   7.7000     7.5000     0.000000       7.500      0.600000
 46 105  0.223   Pd 104.9051   5.5000     3.8000     0.800000       4.600     20.000000
 46 106  0.273   Pd 105.9035   6.4000     5.1000     0.000000       5.100      0.304000
 46 108  0.265   Pd 107.9039   4.1000     2.1000     0.000000       2.100      8.550000
 46 110  0.117   Pd 109.9052   7.7000     7.5000     0.000000       7.500      0.226000
 47  -1 -1.000   Ag 107.8681   5.9220     4.4070     0.580000       4.990     63.300000
 47 107  0.518   Ag 106.9051   7.5550     7.1700     0.130000       7.300     37.600000
 47 109  0.482   Ag 108.9048   4.1650     2.1800     0.320000       2.500     91.000000
 48  -1 -1.000   Cd 112.4116   4.8700     3.0400     3.460000       6.500   2520.000000
 48 106  0.013   Cd 105.9065   5.0000     3.1000     0.000000       3.100      1.000000
 48 108  0.009   Cd 107.9042   5.4000     3.7000     0.000000       3.700      1.100000
 48 110  0.125   Cd 109.9030   5.9000     4.4000     0.000000       4.400     11.000000
 48 111  0.128   Cd 110.9042   6.5000     5.3000     0.300000       5.600     24.000000
 48 112  0.241   Cd 111.9028   6.4000     5.1000     0.000000       5.100      2.200000
 48 113  0.122   Cd 112.9044  -8.0000    12.1000     0.300000      12.400  20600.000000
 48 114  0.287   Cd 113.9034   7.5000     7.1000     0.000000       7.100      0.340000
 48 116  0.075   Cd 115.9048   6.3000     5.0000     0.000000       5.000      0.075000
 49  -1 -1.000   In 114.8179   4.0650     2.0800     0.540000       2.620    193.800000
 49 113  0.043   In 112.9041   5.3900     3.6500     0.000037       3.650     12.000000
 49 115  0.957   In 114.9039   4.0100     2.0200     0.550000       2.570    202.000000
 50  -1 -1.000   Sn 118.6914   6.2250     4.8710     0.022000       4.892      0.626000
 50 112  0.010   Sn 111.9048   6.0000     4.5000     0.000000       4.500      1.000000
